458,737,607,250,488,405
677,744,520,634,127,463
285,140,253,686,191,500
565,422,510,605,161,532
759,873,699,475,586,376
582,431,436,351,287,333
619,609,649,550,524,848
354,787,865,631,845,575
615,731,346,200,594,575
418,531,374,639,652,691
525,694,410,644,287,398
744,456,607,763,129,508
424,781,552,242,631,843
218,859,437,259,489,610
576,739,470,274,790,467
647,202,192,319,297,742
373,527,207,569,641,637
274,145,858,417,708,260
508,475,494,249,569,111
432,887,699,414,758,711
788,646,349,223,842,554
375,797,106,766,610,624
555,497,593,219,115,608
543,330,386,644,247,688
570,246,619,700,121,810
368,705,181,213,488,196
640,637,566,747,465,458
681,332,464,633,440,619
